LibraryElement, DeclaringType, EntityKind, Count, Status
eShopLegacyWebForms.Catalog.Delete.btnDelete,eShopLegacyWebForms.Catalog.Delete,Field,6,1
eShopLegacyWebForms.Catalog.Delete.productToDelete,eShopLegacyWebForms.Catalog.Delete,Field,13,1
eShopLegacyWebForms.Catalog.Delete.InitializeComponent,eShopLegacyWebForms.Catalog.Delete,Method,2,1
eShopLegacyWebForms.Catalog.Delete.Delete_Click,eShopLegacyWebForms.Catalog.Delete,Method,1,1
System.Web.UI.CompiledBindableTemplateBuilder,System.Web.UI.CompiledBindableTemplateBuilder,Type,2,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.AddCatalogItems.sequenceId,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.AddCatalogItems.sequenceId,Type,1,1
System.Web.UI.CompiledBindableTemplateBuilder..ctor,System.Web.UI.CompiledBindableTemplateBuilder,Method,2,1
System.Web.UI.WebControls.WebControl.CssClass,System.Web.UI.WebControls.WebControl,Property,90,1
System.Web.UI.WebControls.WebControl.ToolTip,System.Web.UI.WebControls.WebControl,Property,2,1
eShopLegacyWebForms.BundleConfig.RegisterBundles,eShopLegacyWebForms.BundleConfig,Method,2,1
eShopLegacyWebForms.BundleConfig,eShopLegacyWebForms.BundleConfig,Type,1,1
eShopLegacyWebForms.Models.CatalogDBContext.CatalogBrands,eShopLegacyWebForms.Models.CatalogDBContext,Property,2,1
eShopLegacyWebForms.Models.CatalogDBContext.CatalogTypes,eShopLegacyWebForms.Models.CatalogDBContext,Property,2,1
eShopLegacyWebForms.Models.CatalogDBContext.CatalogItems,eShopLegacyWebForms.Models.CatalogDBContext,Property,6,1
eShopLegacyWebForms.Models.CatalogDBContext..ctor,eShopLegacyWebForms.Models.CatalogDBContext,Method,1,1
eShopLegacyWebForms.Models.CatalogDBContext,eShopLegacyWebForms.Models.CatalogDBContext,Type,10,1
System.Web.UI.ScriptResourceMapping.AddDefinition,System.Web.UI.ScriptResourceMapping,Method,2,1
System.IO.Compression.ZipFile.ExtractToDirectory,System.IO.Compression.ZipFile,Method,1,0
System.IO.Compression.ZipFile,System.IO.Compression.ZipFile,Type,1,1
System.IO.Compression.ZipFile.ExtractToDirectory,System.IO.Compression.ZipFile,Method,1,1
System.Linq.Queryable.FirstOrDefault,System.Linq.Queryable,Method,2,1
System.Linq.Queryable.OrderBy,System.Linq.Queryable,Method,2,1
System.Linq.Queryable.LongCount,System.Linq.Queryable,Method,2,1
System.Decimal.ToString,System.Decimal,Method,6,1
System.Decimal.Parse,System.Decimal,Method,2,1
eShopLegacyWebForms.Services.CatalogServiceMock.UpdateCatalogItem.modifiedItem,eShopLegacyWebForms.Services.CatalogServiceMock.UpdateCatalogItem.modifiedItem,Type,2,1
System.Data.Entity.DbSet`1.Remove,System.Data.Entity.DbSet`1,Method,2,1
System.Data.Entity.DbSet`1.Add,System.Data.Entity.DbSet`1,Method,8,1
System.Data.Entity.DbSet`1,System.Data.Entity.DbSet`1,Type,3,1
eShopLegacyWebForms.Services.CatalogService..ctor,eShopLegacyWebForms.Services.CatalogService,Method,5,1
eShopLegacyWebForms.Services.CatalogService,eShopLegacyWebForms.Services.CatalogService,Type,5,1
eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.AddCatalogItemPictures.picturePath,eShopLegacyWebForms.Models.Infrastructure.CatalogDBInitializer.AddCatalogItemPictures.picturePath,Type,3,1
System.Reflection.AssemblyDescriptionAttribute..ctor,System.Reflection.AssemblyDescriptionAttribute,Method,1,1
eShopLegacyWebForms.Services.CatalogService.db,eShopLegacyWebForms.Services.CatalogService,Field,13,1
eShopLegacyWebForms.Home.productList_PageIndexChanging.e,eShopLegacyWebForms.Home.productList_PageIndexChanging.e,Type,1,1
System.Reflection.AssemblyCopyrightAttribute..ctor,System.Reflection.AssemblyCopyrightAttribute,Method,1,1
eShopLegacyWebForms.Services.CatalogServiceMock..i,eShopLegacyWebForms.Services.CatalogServiceMock..i,Type,5,1
eShopLegacyWebForms.Home.___Build__Control11.BoundField,eShopLegacyWebForms.Home.___Build__Control11.BoundField,Type,3,1
eShopLegacyWebForms.Models.Infrastructure.PreconfiguredData.GetPreconfiguredCatalogBrands,eShopLegacyWebForms.Models.Infrastructure.PreconfiguredData,Method,6,1
eShopLegacyWebForms.Models.Infrastructure.PreconfiguredData.GetPreconfiguredCatalogTypes,eShopLegacyWebForms.Models.Infrastructure.PreconfiguredData,Method,6,1
eShopLegacyWebForms.Models.Infrastructure.PreconfiguredData.GetPreconfiguredCatalogItems,eShopLegacyWebForms.Models.Infrastructure.PreconfiguredData,Method,4,1
eShopLegacyWebForms.Models.Infrastructure.PreconfiguredData,eShopLegacyWebForms.Models.Infrastructure.PreconfiguredData,Type,8,1
System.Reflection.AssemblyFileVersionAttribute..ctor,System.Reflection.AssemblyFileVersionAttribute,Method,1,1
eShopLegacyWebForms.Services.CatalogService.CreateCatalogItem.catalogItem,eShopLegacyWebForms.Services.CatalogService.CreateCatalogItem.catalogItem,Type,1,1
System.Data.Entity.QueryableExtensions.Include,System.Data.Entity.QueryableExtensions,Method,8,1
System.Web.UI.WebControls.HyperLink.NavigateUrl,System.Web.UI.WebControls.HyperLink,Property,10,1
System.Web.UI.WebControls.HyperLink.Text,System.Web.UI.WebControls.HyperLink,Property,8,1
eShopLegacyWebForms.Models.CatalogItemHiLoGenerator.GetNextSequenceValue.rawQuery,eShopLegacyWebForms.Models.CatalogItemHiLoGenerator.GetNextSequenceValue.rawQuery,Type,1,1
System.Web.UI.WebControls.HyperLink..ctor,System.Web.UI.WebControls.HyperLink,Method,4,1
System.Web.UI.WebControls.HyperLink,System.Web.UI.WebControls.HyperLink,Type,11,1
