Code,Message,Severity,File,Project,Line,Column
AWFW27,Loading file C:\Users\lmora\AppData\Local\Temp\WFNetMAP\1031075757858\libs\Collectors\Mobilize.Collectors.UICollector.WFPProcessor.5.3.2\Build\Mobilize.Collectors.UICollector.WFPProcessor.dll,Error,,,,
AWFW27,Loading file C:\Users\lmora\AppData\Local\Temp\WFNetMAP\1031075757858\libs\Services\Mobilize.Services.WFHtmlGenerators.5.3.2\Build\Mobilize.Services.WFHtmlGenerators.dll,Error,,,,
